LOT,INDEX,EnglishSource,SENSORIMOTOR_SOURCE_DOMAIN,TYPE,IMAGE_SCHEMA_ANNOTATION,SOURCE_DOMAIN_FRAME,SOURCE_DOMAIN_FRAME_REF,TARGET_DOMAIN_FRAME,TARGET_DOMAIN_FRAME_REF,CONCEPTUAL_METAPHOR,Language,LinguisticExamples,SOURCE,TAKEN_FROM,COMMENT
0,1,What obligations have you gotten yourself into?,CONTAINER,SPATIAL_PRIMITIVE,CONTAINMENT,Container,frame:Containers,Obligation,frame:BeingObligated,OBLIGATION IS CONTAINER,fr,Dans quelles obligations t'es-tu engagé ?,"[Lakoff et al., 1991]",IScat,Translated from EN dataset entry
0,2,Try to get out of those commitments,CONTAINER,SPATIAL_PRIMITIVE,CONTAINMENT,Container,frame:Containers,Obligation,frame:BeingObligated,OBLIGATION IS CONTAINER,fr,Essaie de te sortir de ces engagements.,"[Lakoff et al., 1991]",IScat,"Translated from EN dataset entry (full EN sentence: ""Try to get out of those committments, don't let your boss box you in."")"
0,3,Have they entered into an agreement yet?,CONTAINER,SPATIAL_PRIMITIVE,CONTAINMENT,Container,frame:Containers,Agreement,framedata:Agreement,AGREEMENT IS CONTAINER,fr,Sont-ils déjà entrés dans un accord ?,"[Lakoff et al., 1991]",IScat,Translated from EN dataset entry
0,4,My morning has been very full.,CONTAINER,SPATIAL_PRIMITIVE,CONTAINMENT,Container,frame:Containers,Time,frame:Timespan,TIME PERIODS ARE CONTAINERS,fr,Ma matinée a été très remplie.,"[Lakoff et al., 1991]",IScat,Translated from EN dataset entry
0,5,Who put that idea in your head?,CONTAINER,SPATIAL_PRIMITIVE,CONTAINMENT,Container,frame:Containers,Mind,framedata:Mind,MIND AS CONTAINER FOR IDEAS,fr,Qui t'a mis cette idée dans la tête ?,"[Lakoff et al., 1991]",IScat,Translated from EN dataset entry
0,6,Keep it in the back of your mind,CONTAINER,SPATIAL_PRIMITIVE,CONTAINMENT,Container,frame:Containers,Mind,framedata:Mind,MIND IS A CONTAINER,fr,Garde ça dans un coin de ta tête.,"[Lakoff et al., 1991]",IScat,Translated from EN dataset entry
0,7,Open your mind to some new thoughts.,CONTAINER,SPATIAL_PRIMITIVE,CONTAINMENT,Container,frame:Containers,Mind,framedata:Mind,MIND AS CONTAINER FOR IDEAS,fr,Ouvre ton esprit à de nouvelles idées.,"[Lakoff et al., 1991]",IScat,Translated from EN dataset entry
0,8,I've kept this in my memory for years.,CONTAINER,SPATIAL_PRIMITIVE,CONTAINMENT,Container,frame:Containers,Memory,frame:Memory,MEMORY IS A CONTAINER FOR OBJECTS,fr,J'ai gardé cela dans ma mémoire pendant des années.,"[Lakoff et al., 1991]",IScat,Translated from EN dataset entry
0,9,There was passion in her eyes.,CONTAINER,SPATIAL_PRIMITIVE,CONTAINMENT,Container,frame:Containers,Eyes,frame:ObservableBodyParts,EYES ARE CONTAINERS FOR EMOTIONS,fr,Il y avait de la passion dans ses yeux.,"[Lakoff et al., 1991]",IScat,Translated from EN dataset entry
0,10,The ship is coming into view.,CONTAINER,SPATIAL_PRIMITIVE,CONTAINMENT,Container,frame:Containers,Visual_Field,framedata:Vision,VISUAL FIELD IS A CONTAINER,fr,Le navire arrive en vue.,"[Lakoff et al., 1991]",IScat,Translated from EN dataset entry
